Unique ID,Data Source,WDFW ID,DNR ID,RMAP ID,QIN ID,FS ID,CSP ID,Barrier Type,Latitude (from database),Longitude (from database),Latitude (map adjusted),Longitude (map adjusted),Stream Name,Tributary To Name,Interested Parties,Road Ownership,Road Name,Road Block,Road Number,Mile Post,County,HUC 10 Name,WRIA,Barrier Status,Barrier Passability,Barrier Flag,DST Calculation Adjustment,Fish Type,Total Prioritization Score,Habitat Quantity Score,Habitat Potential Score,Connectivity Score,Current Condition Score,Future Condition Score,Barrier Passability Score,Downstream Barrier Count,Downstream Barrier Count Score,Downstream Minimum Passability,Downstream Minimum Passability Score,Upstream Barrier Count,Upstream Barrier Count Score,Upstream Minimum Passability,Upstream Minimum Passability Score,Maximum Net Anadromous Habitat Gain Score,"Net Habitat Gain (Coho, miles)",Net Upstream Habitat Gain Coho Score,"Total Habitat Gain (Coho, miles)","Net Habitat Gain (Steelhead, miles)",Net Upstream Habitat Gain Steelhead Score,"Total Habitat Gain (Steelhead, miles)","Net Habitat Gain (Chinook, miles)",Net Upstream Habitat Gain Chinook Score,"Total Habitat Gain (Chinook, miles)","Net Habitat Gain (Sockeye, miles)",Net Upstream Habitat Gain Sockeye Score,"Total Habitat Gain (Sockeye, miles)","Net Habitat Gain (Bull Trout, miles)",Net Upstream Habitat Gain Bull Trout Score,"Total Habitat Gain (Bull Trout, miles)","Net Habitat Gain (Resident, miles)",Net Upstream Habitat Gain Resident Score,"Total Habitat Gain (Resident, miles)",Number of Species,Maximum Habitat Potential Score,Net Habitat Potential (Coho Winter),Habitat Potential Coho Winter Score,Net Habitat Potential (Coho Summer),Habitat Potential Coho Summer Score,Net Habitat Potential (Steelhead),Habitat Potential Steelhead Score,Net Habitat Potential (Chinook),Habitat Potential Chinook Score,Number of Documented Species,Documented Coho,Documented Steelhead,Documented Chinook,Documented Sockeye,Documented Bull Trout,Documented Resident,"Stream Temperature (2019, degrees C)",Current Stream Temperature Score,"Stream Temperature (2080, degrees C)",Future Stream Temperature Score,Future Winter Max Flows (Percent Change),Future Winter Max Flows Score,Future Winter Bankfull Flows (Percent Change),Future Winter Bankfull Flows Score,Future Summer Flows,Future Summer Flows Score,x,y
CWCC.00102,DNR,,12182,2610028,,,,Culvert,47.7841019999,-124.329250001,47.7841016630001,-124.329248824,unnamed,unnamed,Hoh,Private,53.1-X,HOH,53.1X,,Jefferson,Hoh River,20,Barrier,Unknown Passability,Resident Only,,Resident Only,28.475,2,1.5,15.6,5,4.375,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,1,0.36,1,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,18.4240485407234,2,20.3579980122927,2,18.7262099646688,2,19.5892864613348,2,30.4610216776225,1,-13840268.669846945,6071011.907663924
CWCC.00106,DNR,,12217,2690011,,,,Culvert,48.2417370004,-124.519275999,48.2417677600001,-124.519197373,unnamed,unnamed,Makah,Private,7000,SOOS,7000,,Clallam,Sooes River-Frontal Makah Bay,20,Barrier,Unknown Passability,,,Resident and Anadromous,44.3,5,12,14.8,7.5,5,2,2,3,67%,4,0,5,NA,5,1,0.06,1,0.06,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0.13,1,0.13,3,3,0.07,1,0.43,3,0.03,1,-99999,0,1,No,No,No,No,No,Yes,14.9278700929059,3,16.5483536995967,2,19.1432807733195,2,17.9876653265548,2,26.048224780083,2,-13861413.645516776,6147171.03799914
CWCC.00135,DNR,,12391,2610028,,,,Culvert,48.210114,-124.489928001,48.2101054820001,-124.489926004,Brown Creek,Big River,Makah,Private,7000,OZETTE,7000,,Clallam,Ozette Lake-Frontal Pacific Ocean,20,Barrier,Unknown Passability,Resident Only (Adjusted); Downstream 0% Passable Barrier,,Resident Only,29.725,2,3,11.6,7.5,5.625,2,2,3,0%,0,0,5,NA,5,0,,0,,,0,,,0,,,0,,,0,,0.15,1,0.15,1,0,,0,,0,,0,,0,1,No,No,No,No,No,Yes,13.901537436328,3,15.3753923068315,3,16.8653325111034,3,30.6958965434656,1,25.1030130787163,2,-13858155.171690626,6141880.3512116475
CWCC.00142,DNR,,12493,2690011,,,,Culvert,48.2205660001,-124.59734,48.2206111740001,-124.59732954,unnamed,unnamed,Makah,Private,9300,SOOS,9300,,Clallam,Sooes River-Frontal Makah Bay,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain,,No Estimated Upstream Habitat,34.1,0,6,15.6,7.5,5,2,1,4,67%,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,3,0.5,3,0.21,2,0.2,2,-99999,0,0,No,No,No,No,No,No,14.9278700929059,3,16.5483536995967,2,19.1432807733195,2,17.9876653265548,2,26.048224780083,2,-13870111.278541619,6143635.4630592195
CWCC.00143,DNR,,12505,2690011,,,,Culvert,48.2295700002,-124.555020001,48.2295550420001,-124.555059708,unnamed,Snag Creek,Makah,Private,CZ-7109,SOOS,7109-A,,Clallam,Sooes River-Frontal Makah Bay,20,Barrier,Unknown Passability,,,Resident and Anadromous,43.1,5,10,15.6,7.5,5,2,1,4,67%,4,0,5,NA,5,1,0.64,1,0.64,0.64,1,0.64,0,0,0,0,0,0,0,0,0,0.53,1,0.53,3,2,0.35,2,0.24,2,0.14,1,-99999,0,1,No,No,No,No,No,Yes,14.9278700929059,3,16.5483536995967,2,19.1432807733195,2,17.9876653265548,2,26.048224780083,2,-13865405.822392222,6145129.935857055
CWCC.00209,DNR,,12741,2690012,,,,Culvert,48.0331807815,-124.463314694,48.0331626650001,-124.463333418,unnamed,unnamed,Quileute,State,D-2420,DICKODOCHTEDAR,D-2420,,Clallam,Dickey River,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain,,No Estimated Upstream Habitat,26.225,0,0,15.6,5,5.625,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,16.3037206570482,2,18.0881692026422,2,16.9823276476504,3,20.878612958949,2,25.2710409760914,2,-13855194.89856102,6112373.695049239
CWCC.00210,DNR,,12742,2690012,,,,Culvert,48.0337157612,-124.462789204,48.0337249080001,-124.462789955,unnamed,unnamed,Quileute,State,D-2420,DICKODOCHTEDAR,D-2420,,Clallam,Dickey River,20,Barrier,Unknown Passability,No Estimated Upstream Habitat Gain,,No Estimated Upstream Habitat,26.225,0,0,15.6,5,5.625,2,1,4,Unknown Barrier Status,4,0,5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,0,-99999,0,-99999,0,-99999,0,0,No,No,No,No,No,No,16.3037206570482,2,18.0881692026422,2,16.9823276476504,3,20.878612958949,2,25.2710409760914,2,-13855134.40054228,6112467.292838432
CWCC.00256,DNR,,13384,2690012,,,,Culvert,48.0130600002,-124.541677999,48.01305353,-124.541710907,unnamed,West Fork Dickey River,Quileute,State,D_5200,DICKODOCHTEDAR,D_5200,,Clallam,Dickey River,20,Barrier,Unknown Passability,,,Anadromous Only,39.1,3,10.5,15.6,5,5,2,1,4,Unknown Barrier Status,4,0,5,NA,5,1,0.03,1,0.03,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0.39,2,3,0.5,3,0.21,2,0.2,2,-99999,0,1,Yes,No,No,No,No,No,21.0706481458769,2,23.1913227883714,1,14.3689078495542,4,26.034521950024,1,24.7623546135854,2,-13863919.840638086,6109026.752000521
CWCC.00278,WDFW March 2021,998923,12778,2690012,,,,Culvert,47.8647500004,-124.345749999,47.8647441370001,-124.345702359,unnamed,May Creek,Quileute,State,G-1011.4,GOODMAN,G-1011.4,,Jefferson,Bogachiel River,20,Barrier,67%,,,Anadromous Only,41.125,3,10.5,17,5,5.625,3,1,4,67%,4,2,3,67%,4,1,0.15,1,0.15,0.15,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0.03,2,3,0.5,3,0.21,2,0.2,2,-99999,0,1,No,No,No,No,No,Yes,21.5279217552579,2,23.7548168713768,1,18.02507101986,2,15.4996785072823,4,28.4096428887483,2,-13842100.268975373,6084382.503748676
CWCC.00295,WDFW March 2021,161190,12833,2690012,,,,Culvert,47.8380030005,-124.219411999,47.83798633,-124.219451595,unnamed,Alder Creek,Hoh,State,H_3100,Willy - Huel,H_3100,,Jefferson,Hoh River,20,Unknown,Unknown Barrier Status,,,Resident and Anadromous,37.375,5,10,13,5,4.375,1,1,4,Unknown Barrier Status,4,0,5,NA,5,1,0.29,1,0.29,0.29,1,0.29,0,0,0,0,0,0,0,0,0,0.47,1,0.47,3,2,0.39,2,0.23,2,0.16,1,-99999,0,1,Yes,No,No,No,No,No,18.6062497784395,2,20.6630416237976,2,17.8149997868815,2,19.7198709824723,2,30.732546961021,1,-13828046.09816766,6079943.731603872
