WSDOT Region,Site Id,Road,MP,Stream,WRIA,Year Fixed,Potential Lineal Gain (mi)
 OL,990480,SR 112,49.48,Whiskey Creek,19.0020,1955,1.69
 OL,15.0051 0.10,SR 302,11.36,Little Minter Creek,15.0051,1982,0.1
 OL,15.0051 0.20,SR 302,11.42,Little Minter Creek,15.0051,1982,3.69
 OL,14.0010 0.10,US 101,356.8,Countyline Creek,14.0010,1985,0.47
 NW,08.0049 3.00,I-5 NB,177.67,McAleer Creek,08.0049,1986,0.09
 OL,14.0009A 0.06,US 101,357.9,Holiday Valley Creek,14.0009A,1986,1.1
 NW,03.0354A 0.04,SR 20,77.7,Little Careys Creek,03.0354A,1987,0.53
 NW,996965,I-90,20.42,tributary to EF Issaquah Creek,08.0186,1990,1.14
 OL,990448,US 101,246.4,Tumwater Creek,18.0256,1991,5.55
 NW,990142,SR 202,11.96,Evans Creek,08.0106,1992,4.71
 OL,990323,SR 3,33.7,Parish Creek,15.0220,1992,1
 SW,990171,SR 6,8.9,Green Creek,24.0341,1992,1.1
 NW,995411,I-5,246.75,Chuckanut Creek,01.0626,1993,0.71
 NW,01.0626 0.35,SR 11,18.6,Chuckanut Creek,01.0626,1993,4.78
 NW,991712,US 2,18,tributary to Skykomish River,07.0864,1993,1.07
 OL,15.0280 1.00,SR 308,1.15,Big Scandia Creek,15.0280,1993,4
 NW,08.0302 0.00,SR 169,23.62,Maplewood Creek,08.0302,1994,1.2
 NW,08.0077 0.20,SR 527,6.57,Penny Creek,08.0077,1994,8.36
 NW,990014,SR 542,3.5,Squalicum Creek,01.0552,1994,2.95
 OL,990021,US 101,253.85,Bagley Creek,18.0183,1994,6.49
 SC,990189,US 97,37.14,Highbridge Springs,37,1994,0.7
 SW,990363,US 101,29.8,SF Nemah River,24.0503,1994,2.71
 NW,990272,SR 104,29.65,McAleer Creek,08.0049,1995,3.32
 NW,08.0070A 0.01,SR 527,4,Sulphur Springs Creek,08.0070A,1995,0.2
 NW,08.0075 0.70,SR 527,4.46,Silver Creek No2,08.0075,1995,1.6
 NW,08.0070B 0.30,SR 527,6.32,Nickel Creek,08.0070B,1995,0.8
 NW,990644,SR 530,31.01,tributary to Stillaguamish River,05,1995,0.81
 NW,991168,SR 530,31.9,tributary to Stillaguamish River,05,1995,0.12
 OL,996952,SR 160,3.8,Curley Creek,15.0185,1995,10.13
 OL,990219,US 101,267.18,Johnson Creek,17.0301,1995,4.51
 NW,991519,SR 18,19.59,tributary to Carey Creek,08.0218A,1996,1.09
 NW,990064,SR 18,19.76,Carey Creek,08.0218,1996,11.32
 NW,105 R042117a,SR 164,8.24,Pussyfoot Creek - culvert replacement in,10.0048,1996,9.33
 NW,990271,SR 530,29.63,Mc Govern Creek,05.0168,1996,5.29
 NW,991162,SR 530,31.2,tributary to NF Stillaguamish River,05.0168X,1996,0.12
 NW,991164,SR 530,32.51,tributary to NF Stillaguamish River,05,1996,0.1
 NW,991154,SR 530,55.07,Hatchery Creek,04.1062,1996,0.22
 NW,991153,SR 530,55.9,tributary to Skagit River,04.0707,1996,0.07
 OL,990348,SR 112,3.99,Rasmussen Creek,19.0230,1996,0.82
 OL,990197,US 101,171.7,Huelsdonk Creek,20.0437 D,1996,0.71
 OL,990169,US 101,189.4,Grader Creek,20.0237,1996,2.79
 EA,990350,SR 20,388.13,Renshaw Creek,62.0310,1997,0.07
 EA,990351,SR 20,389.5,Renshaw Creek,62.0310,1997,0.73
 NW,990390,SR 18,8.9,Soosette Creek,09.0073,1997,4.71
 NW,991155,SR 530,54.6,Lyle Creek,04.1064,1997,1.3
 OL,990224,SR 3,57.1,Kinman Creek,15.0368,1997,2.25
 OL,22.0349 0.70,US 12,12.36,Camp Creek,22.0349,1997,6.2
 OL,991501,US 101,103.65,tributary to Big Creek - new fishway built in,22.0057,1997,2.13
 OL,991581,US 101,104.9,tributary to Fairchild Creek,22.0052,1997,3.39
 OL,990143,US 101,105.6,Fairchild Creek,22.0051,1997,2.63
 OL,990164,US 101,186.3,Fuhrman Creek,20.0237E,1997,0.36
 OL,990156,US 101,186.41,Frakker Creek,20,1997,0.12
 OL,990716,US 101,186.45,tributary to Frakker Creek,20,1997,0.12
 OL,991512,US 101,186.7,Forgotten Marsh,20.0237N,1997,0.16
 SW,992462,US 101,28.92,Roaring Creek Slough,24.0563,1997,0.26
EA,990250,SR 20,384.95,Lost Creek,62.0322,1998,16.16
NW,05.0021 4.10,I-5,216.73,WF Church Creek,05.0021,1998,4.47
NW,07.0383A 0.50,SR 202,13.8,Dry Creek,07.0383A,1998,1.75
NW,101S-23,SR 203,7.83,tributary to Harris Creek,07.0285,1998,3.14
NW,997679,SR 509,24.42,Miller Creek,09.0371,1998,3.59
NW,994239,SR 520,6.27,Yarrow Creek,08.0252,1998,3
OL,990278,SR 108,8.89,McDonald Creek,14.0023,1998,3.67
OL,991852,SR 303,6.9,Barker Creek,15.0255,1998,2.76
OL,990121,SR 305,12.8,Dogfish Creek,15.0286,1998,0.08
OL,991532,US 12,13.8,tributary to Chehalis River,22.0354,1998,2.39
OL,991502,US 101,101.1,tributary to SB Big Creek,22.0059,1998,1.62
OL,991263,US 101,162.15,Big Cedar Creek - baffles installation in,20.0576,1998,1.46
OL,990400,US 101,162.6,Steamboat Creek,20.0574,1998,4.62
SW,990119,SR 14,55.8,Dog Creek,29.0130,1998,0.08
SW,990211,SR 14,66,Jewett Creek,29.0342,1998,0.13
SW,990116,SR 142,5.2,Dillacort Creek,30.0009,1998,0.6
NC,990149,SR 971,8.9,First Creek,47.0096,1999,10.56
NC,990145,SR 971,9.1,First Creek,47.0096,1999,0.01
NW,990433,SR 900,19.5,Tibbets Creek,08.0169,1999,1.1
OL,991270,SR 109,36.43,tributary to Pacific Ocean,21.0715,1999,1.91
OL,991690,US 101,111.9,tributary to Stevens Creek,22,1999,0.6
OL,990249,US 101,174,Lost Creek,20.0440,1999,0.83
