OBJECTID,BarrierID,StreamName,TributaryTo,County,OwnerType,FeatureType,Species,PassiblePercent,HabitatQuantity_Chinook_mi,HabitatQuality_IPScore_Chinook,HabitatQuantity_Coho_mi,HabitatQuality_IPScore_Coho,HabitatQuantity_Steelhead_mi,HabitatQuality_IPScore_Steelhea,HabitatQuantity_Chum_mi,HabitatQuantity_Cutthroat_mi,NumberSpeciesBenefit,DownstreamBarriers_Count,DownstreamBarriers_MinpercPass,UpstreamBarriers_Count,UpstreamBarriers_MinpercPass,RoadDensity_mipersqmi,WaterQuality_303d,StreamTemperature_degC,FutureStreamTemperature_degC,CanopyCover_openingangledegrees,TreeHeight_avgm,BufferWidth_avgm,NetHabitatQuantity_Chinook_mi,NetHabitatQualityIPScore_Chinoo,NetHabitatQuantity_Coho_mi,NetHabitatQualityIPScore_Coho,NetHabitatQuantity_Steelhead_mi,NetHabitatQualityIPScore_Steelh,NetHabitatQuantity_Chum_mi,NetHabitatQuantity_Cutthroat_mi,DistancetoUpstreamBarrier_miles,BarrierFlag,GSU_Eco_Region,GSU_Subbasin,GSU,Score,Rank,Barrier_Passibility,Habitat_Quantity_Chinook,Habitat_Quality_Chinook,Habitat_Quantity_Steelhead,Habitat_Quality_Steelhead,Habitat_Quantity_Coho,Coho_Habitat_Quanity_Raw_Data,Habitat_Quality_Coho,Habitat_Quantity_Cutthroat,Habitat_Quantity_Chum,Number_of_Species_Benefitting,Downstream_Barriers,Upstream_Barriers,Road_Density,Water_Quality,Stream_Temperature,Future_Stream_Temperature,Canopy_Opening_Angle,Tree_Height,Buffer_Width,Riparian_Score,Percentile,GSU_Scenario,GlobalID,geoms
1,22.0240   0.70,Van Winkle Cr,Elliot Sl,Grays Harbor,State,Other,"CH, CK, CO, SH, SRCT, RT",33,0.37,0.71,0.55,0.71,0.44,0.49,0.33,0.55,5,2,67,3,33,4.36581608268372,,15.3977603912354,16.3826522827148,66.5110015869141,22.25,35.878547668457,0.37,0.73,0.33,0.73,0.33,0.6,0.33,0.33,0.0834796057589969,,Tidal Chehalis Region,Tidal Zone SB,Tidal Zone,59.3333333333333,182,10,1,4,1,3,2,0.55,4,2,1,5,3,2,3,5,3,3,6,10,6,7.33333333333333,91.4640077821012,1,dcdde3d7-3f73-493c-bfac-def64436694f,"c(x = -123.742859957114, y = 46.979647298307)"
2,22.0225   0.55,Big Cr,Wishkah R,Grays Harbor,County,Culvert,"CO, RT",67,0,-99999,4.02,0.56,0,-99999,0,4.02,2,0,-99999,2,33,4.4804623009206,,14.9623146057129,17.4171237945557,37.5735015869141,25.5,69.5373001098633,0,-99999,1.1,0.6,0,-99999,0,1.1,3.16903332089999,,Grays Harbor Region,Wishkah SB,Upper Wishkah Tribs,53,436,5,0,0,0,0,7,4.02,3,7,0,2,5,2,3,5,3,2,8,10,9,9,78.4289883268483,0,28264280-bf8a-4714-8db4-85d967896060,"c(x = -123.721307604944, y = 47.1782164815132)"
3,021(24019)(04778),Halfway Cr,Stillman Cr,Lewis,County,Culvert,"CO, SH, SRCT, RT",33,0,-99999,1.61,0.53,1.51,0.23,0,1.61,3,0,-99999,2,0,6.72833967937911,,18.2065582275391,18.7643203735352,0.00114115001633763,10.6071996688843,67.8383026123047,0,-99999,1.48,0.53,1.43,0.23,0,1.48,6.68888143043779,,Willapa Hills Region,South Fork SB,Stillman (SFC) Cr,54.3333333333333,363,10,0,0,4,2,4,1.61,3,4,0,3,5,1,1,5,2,2,10,6,9,8.33333333333333,82.1984435797665,1,9fc2ac2d-3321-4a13-9b13-cd9aeb74ffd2,"c(x = -123.213205696468, y = 46.5495593548319)"
4,125 1503W17A,unnamed,Independence Cr,Thurston,Private,Culvert,"CO, SH, SRCT, RT",67,0,-99999,2.82,0.5,1.42,0.24,0.39,2.82,4,2,67,4,33,5.04246939239439,,18.3720893859863,19.9020557403564,28.2171001434326,17.8699989318848,71.2753982543945,0,-99999,1.63,0.57,1.24,0.24,0.39,1.63,2.84190653825009,,Central Lowlands Region,Independence SB,Independence Cr,52.6666666666667,461,5,0,0,3,2,5,2.82,3,5,1,4,3,2,2,5,2,2,8,8,10,8.66666666666667,77.2373540856031,0,fec91e26-724c-40e9-a670-abe9d13aa868,"c(x = -123.097436150161, y = 46.7903758603324)"
5,021(91015)(03717),unnamed,Chehalis R,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,0.28,0.48,0.28,0.17,0,0.28,3,0,-99999,0,-99999,4.76184102935595,,18.9427700042725,19.9657421112061,-99999,-99999,-99999,0,-99999,0.28,0.48,0.28,0.17,0,0.28,0.862751917828069,Missing Riparian Data,Central Lowlands Region,Lincoln Cr SB,Lincoln Cr,41.3333333333333,1508,5,0,0,1,1,1,0.28,3,1,0,3,5,5,3,5,2,2,4,4,5,4.33333333333333,26.7509727626459,2,f2b02e15-51df-4da8-9503-8916dd89b4d5,"c(x = -123.084639607068, y = 46.7626833577122)"
6,125 1403W03A,Eagle Cr,Lincoln Cr,Lewis,Private,Culvert,"CO, SRCT, RT",67,0,-99999,4.46,0.59,1.35,0.24,0,4.46,3,0,-99999,0,-99999,4.76184102935595,,19.4942455291748,20.8383312225342,32.5643005371094,10.2673597335815,68.7148513793945,0,-99999,4.46,0.59,1.35,0.24,0,4.46,30.5336427359543,,Central Lowlands Region,Lincoln Cr SB,Lincoln Cr,59.6666666666667,161,5,0,0,3,2,7,4.46,3,7,0,3,5,5,3,5,2,2,8,6,9,7.66666666666667,92.1449416342412,2,349dfb5c-66c1-48c4-a600-76deb496037b,"c(x = -123.050512388866, y = 46.7276473600707)"
7,341727,unnamed,Black R,Thurston,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,0.56,0.46,0.25,0.23,0,0.56,3,0,-99999,1,0,4.29981506621403,,18.4524612426758,19.0984668731689,89.7398986816406,15,100,0,-99999,0.25,0.66,0.25,0.25,0,0.25,0.0257818320893845,,Black River Region,Black River SB,Lower Black Tribs,43.6666666666667,1265,5,0,0,1,2,2,0.56,3,2,0,3,5,1,3,5,2,2,5,8,10,7.66666666666667,38.545719844358,0,58a0a3ef-2fdd-436d-aa14-ac763aecb8a3,"c(x = -123.024969161382, y = 46.8697042627556)"
8,021(40031)(01720),unnamed,unnamed NF Newaukum R trib,Lewis,County,Culvert,"CO, SH, SRCT, RT",67,0,-99999,0.21,-99999,0.2,-99999,0,0.21,3,0,-99999,0,-99999,5.78039418741258,,19.7615814208984,20.4871425628662,0,0,0,0,-99999,0.21,-99999,0.2,-99999,0,0.21,0.103782155509236,,Cascade Mts Region,Newaukum SB,NF Newaukum Tribs,35.6666666666667,1899,5,0,0,1,0,1,0.21,0,1,0,3,5,5,2,5,2,2,10,0,1,3.66666666666667,7.78210116731518,0,a8e737f5-85a0-4750-99a5-e62a11c97833,"c(x = -122.824111424636, y = 46.6160246244878)"
10,103-1352,unnamed,WF Humptulips R,Grays Harbor,Federal,Culvert,"CO, SH, SRCT, RT",0,0,-99999,0.19,0.13,0.19,0.07,0,0.19,3,0,-99999,0,-99999,3.76143330129863,,14.7237539291382,16.6067714691162,-99999,-99999,-99999,0,-99999,0.19,0.13,0.19,0.07,0,0.19,0.484884101274448,Missing Riparian Data,Grays Harbor Region,Humptulips SB,WF Humptulips MS,52.3333333333333,507,15,0,0,1,1,1,0.19,1,1,0,3,5,5,4,5,3,3,4,4,5,4.33333333333333,75.8268482490272,1,0393eb15-fe51-4c31-bc2a-6fb98ac4cfe1,"c(x = -123.830093563349, y = 47.3517289621994)"
11,103-1073,unnamed,Helm Cr,Grays Harbor,County,Culvert,"CH, CO, SH, SRCT, RT",33,0,-99999,0.83,0.38,0.37,0.19,0.83,0.83,4,0,-99999,0,-99999,4.05441251015402,,16.3033027648926,17.2273750305176,0,0,0,0,-99999,0.83,0.38,0.37,0.19,0.83,0.83,1.48873822318018,,Olympic Mts Region,Wynoochee SB,Middle Wynoochee Tribs,50.6666666666667,618,10,0,0,1,1,2,0.83,2,2,2,4,5,5,3,5,3,2,10,0,1,3.66666666666667,70.1848249027237,0,638f4e6e-37f6-4352-a768-56180d526bbd,"c(x = -123.683704530966, y = 47.1014152165636)"
12,103-1062,Caldwell Cr,Wynoochee R,Grays Harbor,County,Culvert,"CO, SRCT, RT",33,0,-99999,4.39,0.56,2.7,0.28,1.14,4.39,4,0,-99999,5,33,5.05773291744919,,16.7039470672607,17.5055847167969,90.0199966430664,13.954984664917,41.8108520507813,0,-99999,0.89,0.81,0.89,0.35,0.89,0.89,0.726448576160645,,Olympic Mts Region,Wynoochee SB,Lower Wynoochee Tribs,66,63,10,0,0,5,2,7,4.39,3,7,3,4,5,2,2,5,3,2,5,6,7,6,97.0087548638132,0,7969c09d-1ec4-4eb0-bdcb-daf1f2447a9b,"c(x = -123.663126536074, y = 47.0113788366065)"
